run_id,completed,predicates,total_clusters,avg_cluster_size,biggest_cluster_size,biggest_cluster,total_donors,donor_type,total_run_time,settings_file,donor_cluster_ratio
43,48:20.7,"(SimplePredicate: (fingerprint, name), TfidfTextCanopyPredicate: (0.6, city)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (metaphoneToken, street)) (SimplePredicate: (commonThreeTokens, name), SimplePredicate: (tokenFieldPredicate, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.8, name, Surname), TfidfNGramCanopyPredicate: (0.8, name))",56293,2.420833851,39,lloyd douglas:278906,483161,IND,1405.561259,dedupe_extension/settings/settings_IND_ext_5,8.582967687
42,24:55.1,"(LevenshteinCanopyPredicate: (1, name), LevenshteinCanopyPredicate: (2, street)) (SimplePredicate: (nearIntegersPredicate, zip), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonTwoTokens, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (commonThreeTokens, name), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (hundredIntegersOddPredicate, zip), SimplePredicate: (nearIntegersPredicate, name)) (LevenshteinCanopyPredicate: (1, name), PartialPredicate: (suffixArray, city, StreetName)) (PartialPredicate: (sameFiveCharStartPredicate, name, CorporationName), TfidfTextCanopyPredicate: (0.6, name)) (PartialIndexLevenshteinCanopyPredicate: (1, name, CorporationName), TfidfNGramCanopyPredicate: (0.8, name))",52759,2.366420895,43,lloyd douglas:278906,483161,IND,3808.709955,dedupe_extension/settings/settings_IND_ext_4,9.157887754
41,21:26.4,"(SimplePredicate: (fingerprint, name), TfidfNGramCanopyPredicate: (0.8, zip)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.6, name)) (PartialIndexTfidfTextCanopyPredicate: (0.6, name, CorporationName), PartialPredicate: (sameSevenCharStartPredicate, name, CorporationName)) (PartialPredicate: (commonSixGram, name, Surname), TfidfNGramCanopyPredicate: (0.8, street))",18622,2.355278703,14,costa constantinides:77927,483161,IND,2249.846522,dedupe_extension/settings/settings_IND_ext_3,25.94570938
40,43:56.6,"(SimplePredicate: (suffixArray, street), TfidfTextCanopyPredicate: (0.8, name)) (TfidfNGramCanopyPredicate: (0.6, street), TfidfNGramCanopyPredicate: (0.8, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.2, street)) (PartialPredicate: (commonSixGram, city, StreetName), SimplePredicate: (oneGramFingerprint, name)) (PartialIndexTfidfNGramCanopyPredicate: (0.4, name, Surname), SimplePredicate: (commonThreeTokens, street)) (TfidfNGramCanopyPredicate: (0.8, street), TfidfTextCanopyPredicate: (0.4, name)) (PartialIndexLevenshteinCanopyPredicate: (1, name, Surname), SimplePredicate: (commonTwoTokens, name)) (SimplePredicate: (commonTwoTokens, city), TfidfNGramCanopyPredicate: (0.8, name)) (PartialIndexTfidfNGramCanopyPredicate: (0.6, name, Surname), SimplePredicate: (sameSevenCharStartPredicate, street))",67039,2.510553558,47,lloyd douglas:278906,483161,IND,6707.27191,dedupe_extension/settings/settings_IND_ext_2,7.207162995
39,52:09.3,"(SimplePredicate: (commonTwoTokens, name), SimplePredicate: (nearIntegersPredicate, zip)) (PartialIndexLevenshteinCanopyPredicate: (2, name, Surname), TfidfNGramCanopyPredicate: (0.8, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.4, name, Surname), TfidfNGramCanopyPredicate: (0.8, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (hundredIntegersOddPredicate, name)) (TfidfNGramCanopyPredicate: (0.8, name), TfidfTextCanopyPredicate: (0.8, street)) (LevenshteinCanopyPredicate: (3, zip), SimplePredicate: (commonThreeTokens, name)) (PartialIndexTfidfTextCanopyPredicate: (0.4, city, StreetName), TfidfNGramCanopyPredicate: (0.6, name)) (PartialIndexTfidfNGramCanopyPredicate: (0.6, name, Surname), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (commonTwoTokens, city), TfidfNGramCanopyPredicate: (0.8, name))",55454,2.432448516,43,lloyd douglas:278906,483161,IND,4182.462156,dedupe_extension/settings/settings_IND_ext_1,8.712825044
38,42:26.8,"(SimplePredicate: (doubleMetaphone, street), TfidfTextCanopyPredicate: (0.8, name)) (SimplePredicate: (fingerprint, name), TfidfNGramCanopyPredicate: (0.8, name)) (SimplePredicate: (commonThreeTokens, name), TfidfTextCanopyPredicate: (0.4, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.8, name, Surname), SimplePredicate: (commonThreeTokens, name)) (LevenshteinCanopyPredicate: (1, state), SimplePredicate: (commonThreeTokens, name)) (SimplePredicate: (commonTwoTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",50695,2.350290956,27,laura l anderson:265803,483161,IND,2675.412477,dedupe_extension/settings/settings_IND_ext_0,9.530742677
37,54:31.5,"(SimplePredicate: (fingerprint, name), TfidfTextCanopyPredicate: (0.6, city)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (metaphoneToken, street)) (SimplePredicate: (commonThreeTokens, name), SimplePredicate: (tokenFieldPredicate, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.8, name, Surname), TfidfNGramCanopyPredicate: (0.8, name))",44371,2.38155552,30,andrew roffe:13494,404056,IND,1121.2821,dedupe_extension/settings/settings_IND_ext_5,9.106308174
36,35:50.2,"(LevenshteinCanopyPredicate: (1, name), LevenshteinCanopyPredicate: (2, street)) (SimplePredicate: (nearIntegersPredicate, zip), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonTwoTokens, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (commonThreeTokens, name), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (hundredIntegersOddPredicate, zip), SimplePredicate: (nearIntegersPredicate, name)) (LevenshteinCanopyPredicate: (1, name), PartialPredicate: (suffixArray, city, StreetName)) (PartialPredicate: (sameFiveCharStartPredicate, name, CorporationName), TfidfTextCanopyPredicate: (0.6, name)) (PartialIndexLevenshteinCanopyPredicate: (1, name, CorporationName), TfidfNGramCanopyPredicate: (0.8, name))",41997,2.335833512,32,lloyd douglas:232859,404056,IND,3032.91239,dedupe_extension/settings/settings_IND_ext_4,9.621068172
35,45:17.3,"(SimplePredicate: (fingerprint, name), TfidfNGramCanopyPredicate: (0.8, zip)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.6, name)) (PartialIndexTfidfTextCanopyPredicate: (0.6, name, CorporationName), PartialPredicate: (sameSevenCharStartPredicate, name, CorporationName)) (PartialPredicate: (commonSixGram, name, Surname), TfidfNGramCanopyPredicate: (0.8, street))",13542,2.318342933,22,andrew roffe:13494,404056,IND,1686.408439,dedupe_extension/settings/settings_IND_ext_3,29.83724708
34,17:10.9,"(SimplePredicate: (suffixArray, street), TfidfTextCanopyPredicate: (0.8, name)) (TfidfNGramCanopyPredicate: (0.6, street), TfidfNGramCanopyPredicate: (0.8, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.2, street)) (PartialPredicate: (commonSixGram, city, StreetName), SimplePredicate: (oneGramFingerprint, name)) (PartialIndexTfidfNGramCanopyPredicate: (0.4, name, Surname), SimplePredicate: (commonThreeTokens, street)) (TfidfNGramCanopyPredicate: (0.8, street), TfidfTextCanopyPredicate: (0.4, name)) (PartialIndexLevenshteinCanopyPredicate: (1, name, Surname), SimplePredicate: (commonTwoTokens, name)) (SimplePredicate: (commonTwoTokens, city), TfidfNGramCanopyPredicate: (0.8, name)) (PartialIndexTfidfNGramCanopyPredicate: (0.6, name, Surname), SimplePredicate: (sameSevenCharStartPredicate, street))",53245,2.461263968,30,lloyd douglas:232859,404056,IND,7256.957062,dedupe_extension/settings/settings_IND_ext_2,7.58861865
