run_id,completed,predicates,total_clusters,avg_cluster_size,biggest_cluster_size,biggest_cluster,total_donors,donor_type,total_run_time,donor_cluster_ratio,settings_file
12,53:12.5,"(PartialPredicate: (sameThreeCharStartPredicate, name, CorporationName), SimplePredicate: (commonSixGram, name)) (LevenshteinCanopyPredicate: (1, zip), SimplePredicate: (alphaNumericPredicate, name)) (PartialIndexTfidfNGramCanopyPredicate: (0.2, name, Surname), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (firstIntegerPredicate, name)) (LevenshteinCanopyPredicate: (1, name), TfidfNGramCanopyPredicate: (0.8, name)) (PartialPredicate: (suffixArray, city, StreetName), SimplePredicate: (twoGramFingerprint, name))",17962,4.601102327,378,fi-pac new york state food inductry pac:522532,129832,CORP,4506.904356,7.228148313,dedupe_extension/settings_CORP_ext_4
11,38:05.6,"(SimplePredicate: (commonSixGram, name), SimplePredicate: (metaphoneToken, city)) (PartialPredicate: (commonThreeTokens, name, CorporationName), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (firstIntegerPredicate, name), SimplePredicate: (tokenFieldPredicate, state)) (PartialIndexTfidfTextCanopyPredicate: (0.6, name, Surname), TfidfTextCanopyPredicate: (0.8, name)) (PartialIndexLevenshteinCanopyPredicate: (1, name, Surname), PartialPredicate: (commonSixGram, name, Surname)) (SimplePredicate: (commonIntegerPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (SimplePredicate: (fingerprint, name), SimplePredicate: (nearIntegersPredicate, name)) (SimplePredicate: (fingerprint, name), TfidfNGramCanopyPredicate: (0.6, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.6, name, CorporationName), TfidfNGramCanopyPredicate: (0.6, name))",20273,4.274059093,321,unitemized unitemized:483507,129832,CORP,6883.254652,6.404182903,dedupe_extension/settings_CORP_ext_3
274,47:37.3,"(SimplePredicate: (commonSixGram, name), SimplePredicate: (sameThreeCharStartPredicate, name)) (PartialIndexLevenshteinCanopyPredicate: (3, name, CorporationName), SimplePredicate: (alphaNumericPredicate, name)) (PartialPredicate: (alphaNumericPredicate, name, CorporationName), TfidfTextCanopyPredicate: (0.6, street)) (SimplePredicate: (commonThreeTokens, city), SimplePredicate: (hundredIntegersOddPredicate, name)) (SimplePredicate: (fingerprint, street), TfidfNGramCanopyPredicate: (0.6, name)) (TfidfNGramCanopyPredicate: (0.8, street), TfidfTextCanopyPredicate: (0.6, name)) (SimplePredicate: (firstIntegerPredicate, name), SimplePredicate: (firstIntegerPredicate, street)) (PartialIndexTfidfTextCanopyPredicate: (0.4, name, CorporationName), TfidfNGramCanopyPredicate: (0.8, street)) (PartialIndexLevenshteinCanopyPredicate: (2, name, CorporationName), TfidfNGramCanopyPredicate: (0.8, name))",18664,4.749892842,739,nys assoc of re nys assoc of realtors:483404,129832,CORP,5297.108303,6.956279468,dedupe_extension/settings_CORP_ext_2
273,19:20.1,"(SimplePredicate: (commonFourGram, name), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (commonTwoTokens, city)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, name)) (SimplePredicate: (suffixArray, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.6, name))",19452,4.552282542,359,unitemized unitemized:483507,129832,CORP,5952.577893,6.674480773,dedupe_extension/settings_CORP_ext_1
272,40:07.3,"(PartialIndexLevenshteinCanopyPredicate: (3, city, StreetName), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sameSevenCharStartPredicate, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.6, name, CorporationName), SimplePredicate: (commonIntegerPredicate, name)) (PartialPredicate: (sameSevenCharStartPredicate, city, StreetName), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (wholeFieldPredicate, street), TfidfTextCanopyPredicate: (0.8, name))",19277,4.418633605,201,new york baners - pac:564944,129832,CORP,4592.359818,6.735072885,dedupe_extension/settings_CORP_ext_0
271,21:41.6,"(PartialPredicate: (sameThreeCharStartPredicate, name, CorporationName), SimplePredicate: (commonSixGram, name)) (LevenshteinCanopyPredicate: (1, zip), SimplePredicate: (alphaNumericPredicate, name)) (PartialIndexTfidfNGramCanopyPredicate: (0.2, name, Surname), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (firstIntegerPredicate, name)) (LevenshteinCanopyPredicate: (1, name), TfidfNGramCanopyPredicate: (0.8, name)) (PartialPredicate: (suffixArray, city, StreetName), SimplePredicate: (twoGramFingerprint, name))",14806,4.440902337,262,unitemized unitemized:404309,106745,CORP,1607.190082,7.209577198,dedupe_extension/settings_CORP_ext_4
270,54:54.1,"(SimplePredicate: (commonSixGram, name), SimplePredicate: (metaphoneToken, city)) (PartialPredicate: (commonThreeTokens, name, CorporationName), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (firstIntegerPredicate, name), SimplePredicate: (tokenFieldPredicate, state)) (PartialIndexTfidfTextCanopyPredicate: (0.6, name, Surname), TfidfTextCanopyPredicate: (0.8, name)) (PartialIndexLevenshteinCanopyPredicate: (1, name, Surname), PartialPredicate: (commonSixGram, name, Surname)) (SimplePredicate: (commonIntegerPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (SimplePredicate: (fingerprint, name), SimplePredicate: (nearIntegersPredicate, name)) (SimplePredicate: (fingerprint, name), TfidfNGramCanopyPredicate: (0.6, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.6, name, CorporationName), TfidfNGramCanopyPredicate: (0.6, name))",16757,4.184340872,359,fi-pac (nys food ind. pac):436034,106745,CORP,3568.37669,6.370173659,dedupe_extension/settings_CORP_ext_3
269,55:25.7,"(SimplePredicate: (commonSixGram, name), SimplePredicate: (sameThreeCharStartPredicate, name)) (PartialIndexLevenshteinCanopyPredicate: (3, name, CorporationName), SimplePredicate: (alphaNumericPredicate, name)) (PartialPredicate: (alphaNumericPredicate, name, CorporationName), TfidfTextCanopyPredicate: (0.6, street)) (SimplePredicate: (commonThreeTokens, city), SimplePredicate: (hundredIntegersOddPredicate, name)) (SimplePredicate: (fingerprint, street), TfidfNGramCanopyPredicate: (0.6, name)) (TfidfNGramCanopyPredicate: (0.8, street), TfidfTextCanopyPredicate: (0.6, name)) (SimplePredicate: (firstIntegerPredicate, name), SimplePredicate: (firstIntegerPredicate, street)) (PartialIndexTfidfTextCanopyPredicate: (0.4, name, CorporationName), TfidfNGramCanopyPredicate: (0.8, street)) (PartialIndexLevenshteinCanopyPredicate: (2, name, CorporationName), TfidfNGramCanopyPredicate: (0.8, name))",15341,4.62238446,332,unitemized unitemized:404309,106745,CORP,3474.059295,6.958151359,dedupe_extension/settings_CORP_ext_2
268,57:30.7,"(SimplePredicate: (commonFourGram, name), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (commonTwoTokens, city)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, name)) (SimplePredicate: (suffixArray, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.6, name))",15788,4.526095769,1018,n.y.s. automatic vending assn. pac:469670,106745,CORP,4661.945095,6.761147707,dedupe_extension/settings_CORP_ext_1
267,39:48.5,"(PartialIndexLevenshteinCanopyPredicate: (3, city, StreetName), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sameSevenCharStartPredicate, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.6, name, CorporationName), SimplePredicate: (commonIntegerPredicate, name)) (PartialPredicate: (sameSevenCharStartPredicate, city, StreetName), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (wholeFieldPredicate, street), TfidfTextCanopyPredicate: (0.8, name))",15719,4.402633755,291,new york  professional fire fighters.:471260,106745,CORP,4636.762549,6.790826388,dedupe_extension/settings_CORP_ext_0
